date,unit_sales,store_open,dow,dow_name,month,week,is_weekend,is_national_holiday,dcoilwtico
2013-01-02,582.0,1,2,Wednesday,1,1,0,0,93.14
2013-01-03,310.0,1,3,Thursday,1,1,0,0,92.97
2013-01-04,338.0,1,4,Friday,1,1,0,0,93.12
2013-01-05,654.0,1,5,Saturday,1,1,1,1,93.12
2013-01-06,979.0,1,6,Sunday,1,1,1,0,93.12
2013-01-07,541.0,1,0,Monday,1,2,0,0,93.2
2013-01-08,434.0,1,1,Tuesday,1,2,0,0,93.21
2013-01-09,593.0,1,2,Wednesday,1,2,0,0,93.08
2013-01-10,700.0,1,3,Thursday,1,2,0,0,93.81
2013-01-11,726.0,1,4,Friday,1,2,0,0,93.6
2013-01-12,631.0,1,5,Saturday,1,2,1,1,93.6
2013-01-13,679.0,1,6,Sunday,1,2,1,0,93.6
2013-01-14,683.0,1,0,Monday,1,3,0,0,94.27
2013-01-15,547.0,1,1,Tuesday,1,3,0,0,93.26
2013-01-16,265.0,1,2,Wednesday,1,3,0,0,94.28
2013-01-17,162.5,1,3,Thursday,1,3,0,0,95.49
2013-01-18,60.0,1,4,Friday,1,3,0,0,95.61
2013-01-19,667.0,1,5,Saturday,1,3,1,0,95.61
2013-01-20,1090.0,1,6,Sunday,1,3,1,0,95.61
2013-01-21,760.0,1,0,Monday,1,4,0,0,95.61
2013-01-22,461.0,1,1,Tuesday,1,4,0,0,96.09
2013-01-23,413.0,1,2,Wednesday,1,4,0,0,95.06
2013-01-24,326.0,1,3,Thursday,1,4,0,0,95.35
2013-01-25,389.0,1,4,Friday,1,4,0,0,95.15
2013-01-26,697.0,1,5,Saturday,1,4,1,0,95.15
2013-01-27,616.0,1,6,Sunday,1,4,1,0,95.15
2013-01-28,318.0,1,0,Monday,1,5,0,0,95.95
2013-01-29,393.0,1,1,Tuesday,1,5,0,0,97.62
2013-01-30,487.0,1,2,Wednesday,1,5,0,0,97.98
2013-01-31,282.0,1,3,Thursday,1,5,0,0,97.65
2013-02-01,401.0,1,4,Friday,2,5,0,0,97.46
2013-02-02,775.0,1,5,Saturday,2,5,1,0,97.46
2013-02-03,855.0,1,6,Sunday,2,5,1,0,97.46
2013-02-04,411.0,1,0,Monday,2,6,0,0,96.21
2013-02-05,272.0,1,1,Tuesday,2,6,0,0,96.68
2013-02-06,461.0,1,2,Wednesday,2,6,0,0,96.44
2013-02-07,397.0,1,3,Thursday,2,6,0,0,95.84
2013-02-08,226.0,1,4,Friday,2,6,0,0,95.71
2013-02-09,377.0,1,5,Saturday,2,6,1,0,95.71
2013-02-10,356.0,1,6,Sunday,2,6,1,0,95.71
2013-02-11,407.0,1,0,Monday,2,7,0,1,97.01
2013-02-12,469.0,1,1,Tuesday,2,7,0,1,97.48
2013-02-13,277.0,1,2,Wednesday,2,7,0,0,97.03
2013-02-14,280.0,1,3,Thursday,2,7,0,0,97.3
2013-02-15,304.0,1,4,Friday,2,7,0,0,95.95
2013-02-16,576.0,1,5,Saturday,2,7,1,0,95.95
2013-02-17,395.0,1,6,Sunday,2,7,1,0,95.95
2013-02-18,417.0,1,0,Monday,2,8,0,0,95.95
2013-02-19,244.0,1,1,Tuesday,2,8,0,0,96.69
2013-02-20,339.0,1,2,Wednesday,2,8,0,0,94.92
2013-02-21,457.0,1,3,Thursday,2,8,0,0,92.79
2013-02-22,186.0,1,4,Friday,2,8,0,0,93.12
2013-02-23,497.0,1,5,Saturday,2,8,1,0,93.12
2013-02-24,509.0,1,6,Sunday,2,8,1,0,93.12
2013-02-25,441.0,1,0,Monday,2,9,0,0,92.74
2013-02-26,550.0,1,1,Tuesday,2,9,0,0,92.63
2013-02-27,388.0,1,2,Wednesday,2,9,0,0,92.84
2013-02-28,316.0,1,3,Thursday,2,9,0,0,92.03
2013-03-01,305.0,1,4,Friday,3,9,0,0,90.71
2013-03-02,627.0,1,5,Saturday,3,9,1,0,90.71
2013-03-03,853.0,1,6,Sunday,3,9,1,0,90.71
2013-03-04,554.0,1,0,Monday,3,10,0,0,90.13
2013-03-05,487.0,1,1,Tuesday,3,10,0,0,90.88
2013-03-06,458.0,1,2,Wednesday,3,10,0,0,90.47
2013-03-07,566.0,1,3,Thursday,3,10,0,0,91.53
2013-03-08,361.0,1,4,Friday,3,10,0,0,92.01
2013-03-09,549.0,1,5,Saturday,3,10,1,0,92.01
2013-03-10,591.0,1,6,Sunday,3,10,1,0,92.01
2013-03-11,296.0,1,0,Monday,3,11,0,0,92.07
2013-03-12,213.0,1,1,Tuesday,3,11,0,0,92.44
2013-03-13,620.0,1,2,Wednesday,3,11,0,0,92.47
2013-03-14,388.0,1,3,Thursday,3,11,0,0,93.03
2013-03-15,240.0,1,4,Friday,3,11,0,0,93.49
2013-03-16,779.0,1,5,Saturday,3,11,1,0,93.49
2013-03-17,695.0,1,6,Sunday,3,11,1,0,93.49
2013-03-18,465.0,1,0,Monday,3,12,0,0,93.71
2013-03-19,418.0,1,1,Tuesday,3,12,0,0,92.44
2013-03-20,522.0,1,2,Wednesday,3,12,0,0,93.21
2013-03-21,241.0,1,3,Thursday,3,12,0,0,92.46
2013-03-22,353.0,1,4,Friday,3,12,0,0,93.41
2013-03-23,544.0,1,5,Saturday,3,12,1,0,93.41
2013-03-24,529.0,1,6,Sunday,3,12,1,0,93.41
2013-03-25,413.0,1,0,Monday,3,13,0,0,94.55
2013-03-26,300.0,1,1,Tuesday,3,13,0,0,95.99
2013-03-27,353.0,1,2,Wednesday,3,13,0,0,96.53
2013-03-28,594.0,1,3,Thursday,3,13,0,0,97.24
2013-03-29,575.0,1,4,Friday,3,13,0,0,97.24
2013-03-30,577.0,1,5,Saturday,3,13,1,0,97.24
2013-03-31,643.0,1,6,Sunday,3,13,1,0,97.24
2013-04-01,431.0,1,0,Monday,4,14,0,0,97.1
2013-04-02,527.0,1,1,Tuesday,4,14,0,0,97.23
2013-04-03,463.0,1,2,Wednesday,4,14,0,0,95.02
2013-04-04,305.0,1,3,Thursday,4,14,0,0,93.26
2013-04-05,415.0,1,4,Friday,4,14,0,0,92.76
2013-04-06,972.0,1,5,Saturday,4,14,1,0,92.76
2013-04-07,936.0,1,6,Sunday,4,14,1,0,92.76
2013-04-08,369.0,1,0,Monday,4,15,0,0,93.36
2013-04-09,458.0,1,1,Tuesday,4,15,0,0,94.18
2013-04-10,386.0,1,2,Wednesday,4,15,0,0,94.59
2013-04-11,235.0,1,3,Thursday,4,15,0,0,93.44
2013-04-12,358.0,1,4,Friday,4,15,0,0,91.23
2013-04-13,789.0,1,5,Saturday,4,15,1,0,91.23
2013-04-14,506.0,1,6,Sunday,4,15,1,0,91.23
2013-04-15,413.0,1,0,Monday,4,16,0,0,88.75
2013-04-16,372.0,1,1,Tuesday,4,16,0,0,88.73
2013-04-17,400.0,1,2,Wednesday,4,16,0,0,86.65
2013-04-18,283.0,1,3,Thursday,4,16,0,0,87.83
2013-04-19,376.0,1,4,Friday,4,16,0,0,88.04
2013-04-20,647.0,1,5,Saturday,4,16,1,0,88.04
2013-04-21,683.0,1,6,Sunday,4,16,1,0,88.04
2013-04-22,408.0,1,0,Monday,4,17,0,0,88.81
2013-04-23,400.0,1,1,Tuesday,4,17,0,0,89.21
2013-04-24,493.0,1,2,Wednesday,4,17,0,0,91.07
2013-04-25,219.0,1,3,Thursday,4,17,0,0,93.27
2013-04-26,491.0,1,4,Friday,4,17,0,0,92.63
2013-04-27,755.0,1,5,Saturday,4,17,1,0,92.63
